game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Collapse,0,1,obj2,323.0,366.0,True,1
Collapse,1,1,obj1,335.0411865118459,352.34247174283814,True,4
Collapse,1,2,obj1,200.90596244802552,545.7983284930673,True,4
Collapse,1,3,obj3,264.0,421.0,True,4
Collapse,1,4,obj1,316.6344680699554,458.50987697432623,True,4
Collapse,2,1,obj1,229.72123175632882,243.5133628903269,True,2
Collapse,2,2,obj1,290.2377690843583,242.63516031607526,True,2
Collapse,3,1,obj3,243.15724699572257,240.64771694574793,True,2
Collapse,3,2,obj1,293.0,435.0,True,2
Collapse,4,1,obj2,198.0,323.0,True,2
Collapse,4,2,obj1,306.6452275523568,422.02720124081577,True,2
Collapse,5,1,obj1,290.90456411477106,279.17034449723434,True,1
Collapse,6,1,obj1,300.1072835863129,280.0214312222342,True,1
Collapse,7,1,obj1,439.0,573.0,True,1
Collapse,8,1,obj1,289.7457492600106,286.4284889177118,True,1
Collapse,9,1,obj1,306.0,520.0,True,1
Collapse,10,1,obj1,444.6386858792431,454.19478068426247,True,2
Collapse,10,2,obj2,285.0,397.0,True,2
Collapse,11,1,obj1,360.5150415295634,369.47643172415934,True,2
Collapse,11,2,obj1,294.0,274.0,True,2
Collapse,12,1,obj1,130.0,411.0,True,3
Collapse,12,2,obj1,404.7317366802734,397.3106663252644,True,3
Collapse,12,3,obj1,418.14811608627286,412.19781194489076,True,3
Collapse,13,1,obj2,545.0,494.0,True,6
Collapse,13,2,obj2,129.0,273.0,True,6
Collapse,13,3,obj1,542.2619380357305,541.7639626249244,True,6
Collapse,13,4,obj3,99.0,563.0,True,6
Collapse,13,5,obj1,446.26650205279157,445.91721544217876,True,6
Collapse,13,6,obj1,462.31585295336083,469.2456114488602,True,6
Collapse,14,1,obj1,541.3363599821254,523.54155174064,True,7
Collapse,14,2,obj1,522.8239240355091,524.3676534753496,True,7
Collapse,14,3,obj1,263.85323566730057,463.51095526544566,True,7
Collapse,14,4,obj3,256.5799032532479,249.92896708217893,True,7
Collapse,14,5,obj3,477.8941840985998,340.3895491069119,True,7
Collapse,14,6,obj3,369.38595863427065,382.02501318230884,True,7
Collapse,14,7,obj1,291.9538980753651,274.96457346147577,True,7
Collapse,15,1,obj1,315.76808209705626,370.64794262953455,True,1
Collapse,16,1,obj3,178.0,498.0,True,3
Collapse,16,2,obj1,507.23603481592266,501.95804911899853,True,3
Collapse,16,3,obj1,279.68084025615804,324.0641754205514,True,3
Collapse,17,1,obj1,124.14566403563438,510.70319915465717,True,2
Collapse,17,2,obj2,330.0,479.0,True,2
Collapse,18,1,obj1,409.08242858087544,412.3009279124154,True,3
Collapse,18,2,obj3,272.0,386.0,True,3
Collapse,18,3,obj1,319.16667536751567,283.61671150333416,True,3
Collapse,19,1,obj1,464.45121034717954,475.81137703389606,True,3
Collapse,19,2,obj1,560.2115495707651,413.8447093690777,True,3
Collapse,19,3,obj1,306.7157066618091,248.84649836790348,True,3
Collapse,20,1,obj1,499.6394785281766,505.3438617829046,True,6
Collapse,20,2,obj1,486.205538462727,426.89716517713333,True,6
Collapse,20,3,obj1,477.25014708969087,373.84256634854034,True,6
Collapse,20,4,obj2,175.0,443.0,True,6
Collapse,20,5,obj2,496.0,462.0,True,6
Collapse,20,6,obj2,298.0475087711333,526.6287511601323,True,6
Collapse,21,1,obj1,298.665264955262,312.24776034468937,True,1
Collapse,22,1,obj1,360.3698377580853,240.8885536890338,True,1
Collapse,23,1,obj3,173.0,503.0,True,3
Collapse,23,2,obj1,281.70985238797954,281.6860621872147,True,3
Collapse,23,3,obj2,298.0,446.0,True,3
Collapse,24,1,obj1,294.35056663628546,273.82143749796586,True,1
Collapse,25,1,obj2,272.0,542.0,True,1
Collapse,26,1,obj1,556.248411081893,559.242408177698,True,7
Collapse,26,2,obj3,549.0,565.0,True,7
Collapse,26,3,obj3,523.8422244243885,527.0984427050237,True,7
Collapse,26,4,obj3,544.1921945396766,535.4786637397165,True,7
Collapse,26,5,obj3,555.7838298906388,573.8596903059034,True,7
Collapse,26,6,obj3,158.0,260.0,True,7
Collapse,26,7,obj2,279.4093497845746,279.4701824499055,True,7
Collapse,27,1,obj2,246.0,563.0,True,1
Collapse,28,1,obj1,285.8698655653199,282.21186092815657,True,1
Collapse,29,1,obj1,427.90835845084854,435.53911230270626,True,4
Collapse,29,2,obj1,183.84638132100758,363.197492379105,True,4
Collapse,29,3,obj1,497.0,386.0,True,4
Collapse,29,4,obj1,437.0881701867333,494.89318139476825,True,4
Collapse,30,1,obj1,294.160591518099,302.7040956515429,True,1
Collapse,31,1,obj1,294.0,315.0,True,1
Collapse,32,1,obj2,421.0,384.0,True,3
Collapse,32,2,obj1,420.36639491874274,417.34811342197133,True,3
Collapse,32,3,obj1,310.11912297109404,246.76686213409533,True,3
Collapse,33,1,obj3,378.0,241.0,True,6
Collapse,33,2,obj3,392.68756474729093,390.48125487041546,True,6
Collapse,33,3,obj1,445.0,393.0,True,6
Collapse,33,4,obj1,443.48863208332915,438.55835124107773,True,6
Collapse,33,5,obj1,429.64112826607305,455.33252830457604,True,6
Collapse,33,6,obj1,429.5044416651851,422.8479729705723,True,6
Collapse,34,1,obj1,487.3269502465704,482.20327795574883,True,2
Collapse,34,2,obj1,282.9711234021173,372.7112773534471,True,2
Collapse,35,1,obj2,286.0,259.0,True,1
Collapse,36,1,obj3,373.0,244.0,True,3
Collapse,36,2,obj1,369.6613163689765,371.0166334269056,True,3
Collapse,36,3,obj2,304.0,427.0,True,3
Collapse,37,1,obj1,423.8159072757719,425.213934181212,True,3
Collapse,37,2,obj1,416.9351878169201,422.3417661137167,True,3
Collapse,37,3,obj2,254.0,568.0,True,3
Collapse,38,1,obj1,479.3324270162862,487.22008529546747,True,2
Collapse,38,2,obj2,304.0,452.0,True,2
Collapse,39,1,obj1,529.1749669030181,527.5623779803016,True,3
Collapse,39,2,obj1,526.9592801878551,536.4495956056696,True,3
Collapse,39,3,obj2,266.36126219650157,497.84435191704296,True,3
Collapse,40,1,obj1,161.0,430.0,True,4
Collapse,40,2,obj1,570.0442835171849,573.0645251777,True,4
Collapse,40,3,obj1,496.82764727367396,571.551157995628,True,4
Collapse,40,4,obj1,456.15557161167897,495.81593625833347,True,4
Collapse,41,1,obj1,250.1481991057237,437.4313867878499,True,3
Collapse,41,2,obj1,250.9182556576384,256.6793516063055,True,3
Collapse,41,3,obj2,270.27814818086927,266.9076926563155,True,3
Collapse,42,1,obj1,210.0,335.0,True,2
Collapse,42,2,obj1,284.21957429537986,287.2611813755004,True,2
Collapse,43,1,obj1,344.475010889107,347.02363623580015,True,3
Collapse,43,2,obj1,366.5251080152371,365.5971013671217,True,3
Collapse,43,3,obj1,362.01938621658337,250.41175569492,True,3
Collapse,44,1,obj1,369.74169972612003,353.11099718761903,True,2
Collapse,44,2,obj2,285.0,370.0,True,2
Collapse,45,1,obj2,327.0,470.0,True,1
Collapse,46,1,obj3,383.0,325.0,True,8
Collapse,46,2,obj3,281.0,434.0,True,8
Collapse,46,3,obj1,280.5354487845097,286.87187614428393,True,8
Collapse,46,4,obj1,411.4275870207915,400.31723403952776,True,8
Collapse,46,5,obj3,405.2136499195249,428.35181358665085,True,8
Collapse,46,6,obj1,515.0,455.0,True,8
Collapse,46,7,obj2,558.6158102791858,482.26455438881885,True,8
Collapse,46,8,obj2,230.29023839792382,550.9191007517381,True,8
Collapse,47,1,obj1,321.0,331.0,True,1
Collapse,48,1,obj1,493.12148977906793,496.01416591398174,True,4
Collapse,48,2,obj1,476.9892829234023,484.3025025706952,True,4
Collapse,48,3,obj1,469.5118203367873,484.6862007502093,True,4
Collapse,48,4,obj2,299.0,555.0,True,4
Collapse,49,1,obj1,301.0,341.0,True,1
