game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Table_A,0,1,obj3,250.49620471912667,255.4520040289419,False,11
Table_A,0,2,obj3,246.12905818966496,241.73316158771314,False,11
Table_A,0,3,obj3,427.65958108961075,137.03802226744574,False,11
Table_A,0,4,obj2,133.0,343.0,False,11
Table_A,0,5,obj1,289.51981084548913,310.0183548352611,False,11
Table_A,0,6,obj1,537.6708892067866,353.37029202287084,False,11
Table_A,0,7,obj2,459.38125697078715,153.11859467121116,False,11
Table_A,0,8,obj2,169.0,291.0,False,11
Table_A,0,9,obj2,458.32990105958146,267.06680137780984,False,11
Table_A,0,10,obj2,537.2796775809004,404.64198430589374,False,11
Table_A,0,11,obj1,116.0,341.0,False,11
Table_A,1,1,obj1,354.95621824232865,343.5756330107268,False,11
Table_A,1,2,obj3,126.0,552.0,False,11
Table_A,1,3,obj3,459.512720250111,463.8637351724277,False,11
Table_A,1,4,obj1,237.0,164.0,False,11
Table_A,1,5,obj1,228.01654734600558,532.7210599009209,False,11
Table_A,1,6,obj1,159.8056875023471,468.2094036513124,False,11
Table_A,1,7,obj3,426.0,281.0,False,11
Table_A,1,8,obj3,399.28764176328025,410.72487465956686,False,11
Table_A,1,9,obj3,406.40033477473935,430.37142585219186,False,11
Table_A,1,10,obj3,396.9205460620378,63.32606791311815,False,11
Table_A,1,11,obj3,411.24032401581354,434.7104751226939,False,11
Table_A,2,1,obj2,132.0,430.0,False,11
Table_A,2,2,obj3,572.8505437508536,528.7335096883369,False,11
Table_A,2,3,obj3,259.2915061482377,247.64812631654107,False,11
Table_A,2,4,obj1,250.37304710256535,268.4974166728083,False,11
Table_A,2,5,obj1,267.2821762388619,245.93178732713855,False,11
Table_A,2,6,obj1,262.5146661343332,252.43018702047698,False,11
Table_A,2,7,obj1,248.28890632906229,243.35205986223582,False,11
Table_A,2,8,obj1,490.0308714346156,371.8685764371304,False,11
Table_A,2,9,obj1,553.3568741736635,305.2674886087401,False,11
Table_A,2,10,obj1,465.12595939762775,139.82539551249792,False,11
Table_A,2,11,obj1,180.82138816557278,281.1851825807698,False,11
Table_A,3,1,obj3,272.0233637607953,276.63493986321885,False,11
Table_A,3,2,obj1,341.746107806798,335.78474478299904,False,11
Table_A,3,3,obj1,147.94260129298323,339.715449761928,False,11
Table_A,3,4,obj3,184.76228248925108,377.4797522257528,False,11
Table_A,3,5,obj1,337.0,358.0,False,11
Table_A,3,6,obj2,193.0,365.0,False,11
Table_A,3,7,obj2,170.14756442460657,460.4933521348861,False,11
Table_A,3,8,obj2,202.69730403213836,451.3000896965353,False,11
Table_A,3,9,obj3,204.0,426.0,False,11
Table_A,3,10,obj3,151.7059312737436,488.80945347065654,False,11
Table_A,3,11,obj3,132.0,345.0,False,11
Table_A,4,1,obj3,356.4162767070312,350.7583528035853,False,11
Table_A,4,2,obj3,327.5374696296851,438.1142860757646,False,11
Table_A,4,3,obj1,336.9262457479367,328.4842266718684,False,11
Table_A,4,4,obj1,323.2814525922748,409.6643195080837,False,11
Table_A,4,5,obj1,557.067010014714,321.47222077028243,False,11
Table_A,4,6,obj3,573.8901293623596,531.6654890955514,False,11
Table_A,4,7,obj2,131.0,500.0,False,11
Table_A,4,8,obj3,134.0,432.0,False,11
Table_A,4,9,obj1,208.4625768231537,348.53013838564834,False,11
Table_A,4,10,obj3,209.0,196.0,False,11
Table_A,4,11,obj2,155.0,512.0,False,11
Table_A,5,1,obj3,192.9159624157637,191.64330236057418,False,11
Table_A,5,2,obj3,469.4020630219588,341.1167966560319,False,11
Table_A,5,3,obj3,569.0796936346101,243.98926357621372,False,11
Table_A,5,4,obj2,182.0,363.0,False,11
Table_A,5,5,obj2,414.0531243846932,506.627304438148,False,11
Table_A,5,6,obj2,191.55705500319735,308.66061687917824,False,11
Table_A,5,7,obj2,193.5702373220887,287.53968702161933,False,11
Table_A,5,8,obj1,126.98919437369648,382.55994039210674,False,11
Table_A,5,9,obj1,185.17040282875067,291.9076405414734,False,11
Table_A,5,10,obj1,339.1139480987183,553.8450649510404,False,11
Table_A,5,11,obj1,181.31054243252387,476.8030397797101,False,11
Table_A,6,1,obj2,172.0,377.0,False,11
Table_A,6,2,obj1,175.0,299.0,False,11
Table_A,6,3,obj1,79.64030590685189,235.00018367284576,False,11
Table_A,6,4,obj1,399.2549250343396,192.0311249384683,False,11
Table_A,6,5,obj3,455.8125495070032,249.68093948584232,False,11
Table_A,6,6,obj3,471.6154839241449,353.6472152021542,False,11
Table_A,6,7,obj1,145.0,263.0,False,11
