game_name,participant ID,trial_no,tool,posx,posy,success,attempt #,Gravity
SeeSaw,1555,24,obj1,339,554,0,1,100
SeeSaw,1555,24,obj3,333,545,0,2,100
SeeSaw,1555,24,obj1,340,555,0,3,100
SeeSaw,1555,24,obj3,326,553,0,4,100
SeeSaw,1555,24,obj2,42,250,0,5,100
SeeSaw,1555,24,obj3,338,346,0,6,100
SeeSaw,1555,24,obj1,242,433,0,7,100
SeeSaw,1555,24,obj2,331,412,0,8,100
SeeSaw,1555,24,obj2,305,400,0,9,100
SeeSaw,1555,24,obj3,257,438,0,10,100
SeeSaw,1555,24,obj3,284,452,0,11,100
SeeSaw,1555,24,obj3,320,385,0,12,100
Collapse,1555,25,obj2,277,300,1,1,100
Remove,1555,26,obj2,38,60,0,1,100
Remove,1555,26,obj1,201,299,0,2,100
Remove,1555,26,obj2,392,163,0,3,100
Remove,1555,26,obj1,336,168,0,4,100
Remove,1555,26,obj3,335,265,1,5,100
Funnel,1555,27,obj2,469,36,1,1,100
CatapultAlt,1555,28,obj1,482,242,0,1,100
CatapultAlt,1555,28,obj2,315,321,0,2,100
CatapultAlt,1555,28,obj1,290,392,0,3,100
CatapultAlt,1555,28,obj2,342,416,0,4,100
CatapultAlt,1555,28,obj2,306,111,0,5,100
CatapultAlt,1555,28,obj2,279,43,1,6,100
Basic,1577,1,obj2,28.5,356.5,0,1,200
Basic,1577,1,obj2,77.5,138.5,1,2,200
Basic_v2,1577,2,obj2,521.5,83.5,0,1,200
Basic_v2,1577,2,obj1,520.5,23.5,1,2,200
Launch_B,1577,3,obj3,152.5,102.5,0,1,200
Launch_B,1577,3,obj1,125.5,301.5,0,2,200
Launch_B,1577,3,obj2,149.5,57.5,0,3,200
Launch_B,1577,3,obj3,91.5,357.5,0,4,200
Launch_B,1577,3,obj2,331.5,380.5,0,5,200
Launch_B,1577,3,obj1,104.5,42.5,0,6,200
Launch_B,1577,3,obj2,95.5,43.5,0,7,200
Launch_B,1577,3,obj3,102.5,51.5,0,8,200
Launch_B,1577,3,obj1,105.5,54.5,0,9,200
Launch_B,1577,3,obj2,113.5,22.5,1,10,200
Table_v2,1577,4,obj2,372.5,232,0,1,200
Table_v2,1577,4,obj3,525.5,300.5,0,2,200
Table_v2,1577,4,obj3,403.5,299.5,0,3,200
Table_v2,1577,4,obj1,419.5,322.5,0,4,200
Table_v2,1577,4,obj2,430.5,356.5,0,5,200
Table_v2,1577,4,obj1,227.5,314.5,0,6,200
Table_v2,1577,4,obj2,283.5,405.5,0,7,200
Table_v2,1577,4,obj1,290.5,323.5,0,8,200
Table_v2,1577,4,obj1,253.5,362.5,0,9,200
Table_v2,1577,4,obj2,278.5,378.5,0,10,200
Table_v2,1577,4,obj1,294.5,152.5,0,11,200
Table_v2,1577,4,obj3,298.5,100.5,0,12,200
BalanceUnder,1577,5,obj3,309.5,344.5,0,1,200
BalanceUnder,1577,5,obj1,21.5,35.5,0,2,200
BalanceUnder,1577,5,obj2,324.5,203.5,0,3,200
BalanceUnder,1577,5,obj1,272.5,93.5,0,4,200
BalanceUnder,1577,5,obj3,290.5,60.5,0,5,200
BalanceUnder,1577,5,obj2,383.5,27.5,0,6,200
BalanceUnder,1577,5,obj3,330.5,252.5,0,7,200
BalanceUnder,1577,5,obj2,313.5,169.5,0,8,200
BalanceUnder,1577,5,obj2,308.5,279.5,0,9,200
BalanceUnder,1577,5,obj2,352.5,251.5,0,10,200
BalanceUnder,1577,5,obj1,291.5,60.5,0,11,200
BalanceUnder,1577,5,obj3,275.5,163.5,0,12,200
BridgeAlt,1577,6,obj3,316.5,476.5,1,1,200
Balance,1577,7,obj3,456.5,230.5,1,1,200
Filler,1577,8,obj2,239.5,72.5,0,1,200
Filler,1577,8,obj3,242.5,244.5,1,2,200
Falling_v2,1577,9,obj1,300.5,355.5,0,1,200
Falling_v2,1577,9,obj2,334.5,370.5,1,2,200
Table_B,1577,10,obj2,417.5,557.5,0,1,200
Table_B,1577,10,obj1,432.5,542.5,0,2,200
Table_B,1577,10,obj3,283.5,560.5,0,3,200
Table_B,1577,10,obj3,255.5,518.5,0,4,200
Table_B,1577,10,obj1,272.5,417.5,0,5,200
Table_B,1577,10,obj1,460.5,425.5,0,6,200
Table_B,1577,10,obj1,223.5,375.5,0,7,200
Table_B,1577,10,obj3,229.5,516.5,0,8,200
Table_B,1577,10,obj3,192.5,448.5,0,9,200
Table_B,1577,10,obj2,216.5,445.5,0,10,200
Table_B,1577,10,obj2,209.5,396.5,0,11,200
Table_B,1577,10,obj3,185.5,417.5,0,12,200
Falling_B,1577,11,obj3,206.5,171.5,0,1,200
Falling_B,1577,11,obj3,228.5,17.5,0,2,200
Falling_B,1577,11,obj3,205.5,15.5,0,3,200
Falling_B,1577,11,obj2,345.5,41.5,0,4,200
Falling_B,1577,11,obj2,356.5,47.5,0,5,200
Falling_B,1577,11,obj3,232.5,30.5,0,6,200
Falling_B,1577,11,obj1,358.5,36.5,0,7,200
Falling_B,1577,11,obj2,46.5,74.5,0,8,200
