game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
catapult,0,1,obj1,333.0,71.0,True,1
catapult,1,1,obj1,345.1298760460211,72.32679829981026,True,1
catapult,2,1,obj1,332.47437029657914,335.9522233917967,True,6
catapult,2,2,obj1,315.9709002534983,336.43744936282394,True,6
catapult,2,3,obj1,221.03340714729168,71.99554545305597,True,6
catapult,2,4,obj1,210.41861874877986,209.48943153732966,True,6
catapult,2,5,obj1,193.89106641792796,209.65952950664212,True,6
catapult,2,6,obj1,278.0,69.0,True,6
catapult,3,1,obj2,322.0,69.0,True,1
catapult,4,1,obj1,524.5089243451109,195.54985972729042,True,6
catapult,4,2,obj1,522.8769632125707,521.5882515904207,True,6
catapult,4,3,obj1,305.5592712589229,527.7651862890478,True,6
catapult,4,4,obj2,330.88465672452645,342.5759737323168,True,6
catapult,4,5,obj1,304.0,495.0,True,6
catapult,4,6,obj1,313.0,157.0,True,6
catapult,5,1,obj1,198.7828638400393,561.100930903666,True,2
catapult,5,2,obj2,295.0,129.0,True,2
catapult,6,1,obj1,297.96607096032096,407.45174126271905,True,3
catapult,6,2,obj1,69.51566594604651,398.0021811215453,True,3
catapult,6,3,obj3,326.0,100.0,True,3
catapult,7,1,obj2,272.0,152.0,True,1
catapult,8,1,obj2,303.0,128.0,True,1
catapult,9,1,obj1,296.0,59.0,True,1
catapult,10,1,obj3,320.0,511.0,True,2
catapult,10,2,obj1,330.0,82.0,True,2
catapult,11,1,obj2,321.0,124.0,True,1
catapult,12,1,obj1,520.8059006406766,272.12736542019945,True,9
catapult,12,2,obj1,535.8315138678043,509.85995900537074,True,9
catapult,12,3,obj1,536.1908968234759,543.4505436033784,True,9
catapult,12,4,obj1,522.088549672432,537.9871964651863,True,9
catapult,12,5,obj1,488.7489471729647,286.1934155104131,True,9
catapult,12,6,obj1,492.25776351429465,257.870721175781,True,9
catapult,12,7,obj1,488.4336639872297,277.7832413297792,True,9
catapult,12,8,obj2,488.03991575327086,453.0863592394832,True,9
catapult,12,9,obj2,232.65233176747114,108.36013965608328,True,9
catapult,13,1,obj1,281.0,111.0,True,1
catapult,14,1,obj1,286.3719529404729,146.09819153471742,True,1
catapult,15,1,obj1,290.20788792780365,136.72298958051815,True,1
catapult,16,1,obj1,380.19457998021835,376.2248332714071,False,11
catapult,16,2,obj2,277.0,398.0,False,11
catapult,16,3,obj1,507.96815640486153,283.8355254135734,False,11
catapult,16,4,obj1,490.84860402105636,497.0411144149734,False,11
catapult,16,5,obj1,507.5584262817848,489.1355386099784,False,11
catapult,16,6,obj1,493.6008087225727,436.3869744819673,False,11
catapult,16,7,obj1,473.910119093762,520.8500438841652,False,11
catapult,16,8,obj1,458.71848828825114,422.4963422617458,False,11
catapult,16,9,obj1,471.0502481100368,394.5438019163776,False,11
catapult,16,10,obj1,472.4618930874026,506.51747038662245,False,11
catapult,16,11,obj1,446.80118248233543,224.47884875202212,False,11
catapult,17,1,obj1,198.35915661460177,517.5661833784117,True,3
catapult,17,2,obj1,197.4745596086502,189.0784141760522,True,3
catapult,17,3,obj1,288.0,132.0,True,3
