game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
GapAlt,0,1,obj1,292.85675275119024,302.37818212968824,True,1
GapAlt,1,1,obj1,297.208388349598,310.03567961009605,True,2
GapAlt,1,2,obj1,288.17163251672144,308.69409254664987,True,2
GapAlt,2,1,obj2,315.0,333.0,True,2
GapAlt,2,2,obj1,285.44217043964017,297.7863611913352,True,2
GapAlt,3,1,obj1,340.29181722533167,333.04805018766035,True,1
GapAlt,4,1,obj1,354.6489890352671,359.39820120205246,True,3
GapAlt,4,2,obj3,94.0,520.0,True,3
GapAlt,4,3,obj1,289.80596878193063,301.011870964007,True,3
GapAlt,5,1,obj3,111.0,508.0,True,5
GapAlt,5,2,obj1,427.6373407922904,422.4860622622893,True,5
GapAlt,5,3,obj1,461.1472144964356,290.6794918735962,True,5
GapAlt,5,4,obj1,344.735177729962,424.27210184146014,True,5
GapAlt,5,5,obj1,341.84892961715445,489.68779674496557,True,5
GapAlt,6,1,obj1,323.34657453677175,329.84063725418133,True,2
GapAlt,6,2,obj1,317.0,459.0,True,2
GapAlt,7,1,obj1,321.94784668888724,353.4551510818019,True,3
GapAlt,7,2,obj1,319.7802269863591,341.62554883072687,True,3
GapAlt,7,3,obj1,322.3176179176968,326.65529220622216,True,3
GapAlt,8,1,obj1,266.42710173434955,444.7257089753382,True,2
GapAlt,8,2,obj1,206.87136750365013,399.1016840467721,True,2
GapAlt,9,1,obj1,332.72873147427333,342.57355757934266,True,3
GapAlt,9,2,obj1,323.72829708824855,335.06660946818096,True,3
GapAlt,9,3,obj1,315.97155201100657,365.8051719723735,True,3
GapAlt,10,1,obj1,332.8786605835671,342.32661678648043,True,2
GapAlt,10,2,obj1,272.6905804790308,323.4072291550258,True,2
GapAlt,11,1,obj1,392.522689161487,393.50193941147796,True,1
GapAlt,12,1,obj1,355.6531399647814,344.7305574786748,True,5
GapAlt,12,2,obj1,374.48879878369434,371.15016067716795,True,5
GapAlt,12,3,obj1,368.91980373359377,387.1725409003705,True,5
GapAlt,12,4,obj1,354.22695943172977,360.0016570419925,True,5
GapAlt,12,5,obj2,371.0,472.0,True,5
GapAlt,13,1,obj1,361.2058907859791,371.9231704610904,True,5
GapAlt,13,2,obj1,368.42414121445455,376.3623994500622,True,5
GapAlt,13,3,obj2,354.0,340.0,True,5
GapAlt,13,4,obj3,309.47457060537323,327.7601315627709,True,5
GapAlt,13,5,obj1,302.4881644020982,322.51142893146437,True,5
GapAlt,14,1,obj3,111.0,390.0,True,3
GapAlt,14,2,obj1,557.0253057672186,556.6616568939784,True,3
GapAlt,14,3,obj2,371.0,404.0,True,3
GapAlt,15,1,obj1,285.24568513883526,499.8926881471685,True,4
GapAlt,15,2,obj1,283.18806576049974,289.2624630388444,True,4
GapAlt,15,3,obj1,285.8064905002852,287.2282844803108,True,4
GapAlt,15,4,obj1,283.6655105704752,296.0857970575022,True,4
GapAlt,16,1,obj1,342.0,557.0,True,3
